CD_SETOR,vol
315780710000037,69
315780710000058,69
315780710000119,207
315780710000126,69
315780710000134,69
315780710000276,207
315960505000013,69
315960505000070,69
316040505000013,69
316040505000018,345
316040505000025,138
316040505000087,69
316040505000090,69
316257515000004,69
316295505000092,345
316370605000025,69
316370605000055,69
316370605000057,69
316553705000047,345
316553705000081,69
316553705000090,69
316720205010009,69
316720205020010,69
316720205030029,69
316720205060041,69
316720205080014,69
316720205080043,69
316720205090021,69
316720205110015,69
316720205110037,69
316910905000001,69
316930705000106,69
316940605000049,138
316940605000100,138
316990105000027,69
316990105000048,276
316990105000062,69
316990105000071,69
316990105000117,69
316990105000180,69
316990105000215,138
316990105000271,69
316990105000277,69
317010705000392,69
317010705000496,69
317010705000568,69
317010705000798,69
317010705000799,69
317010705000823,69
317020605000036,69
317020605000085,138
317020605000091,69
317020605000121,69
317020605000150,69
317020605000464,69
317020605000517,69
317020605000554,69
317020605000639,69
317020605000713,138
317020605000776,138
317020605000815,138
317020605000958,966
317020605001082,1035
317020605001181,69
317020605001252,69
317020605001329,69
317020605001378,69
317020605001486,69
317020605001506,69
317020605001536,69
317020605001586,69
317020605001752,69
317020605001957,69
317020605001976,483
317070105000021,69
317070105000022,138
317070105000041,69
317070105000186,69
317070105000274,69
317120405000165,138
317120405000312,69
317130305000144,138
317130310000016,69
320120905000002,69
320120905000059,69
320120905000277,69
320120905000406,138
320130805000157,69
320130805000246,69
320130810000032,138
320130810000038,69
320130810000122,69
320130810000199,69
320130810000238,69
320130810000271,69
320130810000282,69
320130810000324,69
320130810000384,138
320130810000467,69
320240505000032,69
320240505000035,69
320240505000047,69
320240505000123,138
320240505000291,69
320240505000333,69
320240505000338,69
320332005000004,69
320332005000055,69
320332005000079,69
320332010000006,69
320332010000011,138
320332010000018,69
320332010000021,207
320500215000002,345
320500215000202,207
320500215000316,69
320500215000322,138
320500215000343,69
320500215000347,138
320500215000456,414
320500215000498,69
320500215000505,69
320500215000521,69
320500215000530,69
320500215000533,69
320500215000540,138
320500215000574,138
320500215000579,69
320500215000633,69
320500215000664,69
320500215000688,69
320500215000694,69
320500215000731,69
320500215000784,138
320500215000798,69
320500215000799,69
320500215000805,69
320500215000827,69
320500215000830,621
320500220000062,138
320500220000106,69
320510105000076,69
320510105000077,69
320510105000163,69
320510105000166,69
320510105000173,276
320520005060001,345
320520005060025,69
320520005060064,276
320520005060115,345
320520005060133,138
320520005060188,69
320520005060219,138
320520005060227,138
320520005060262,69
320520005060269,69
320520005060291,69
320520005060339,69
320520005060359,69
320520005060383,138
320520005060396,276
320520005070012,69
320520005090007,69
320520010070058,138
320520010080008,69
320520015000124,69
320520015070084,69
320520015080041,69
320520015090010,138
320520015090033,69
320520015090038,138
320520015090084,138
320520020100091,138
320520025080013,69
320530905060004,69
320530905060011,69
320530905060013,69
320530905080034,69
320530910130010,138
320530910140061,69
320530910150068,69
330020905000105,138
330020905000200,69
330020905000342,138
330040705050049,138
330040705080014,69
330040705130015,138
330045605010107,69
330045605010115,69
330045605010141,69
330045605010207,138
330045605020080,69
330045605020103,69
330045605020183,69
330045605020184,69
330045605030011,138
330045605050181,69
330050605000022,138
330050605000025,69
330050605000050,207
330050610000006,207
330050610000011,138
330050615000013,69
330050615000031,69
330070405000127,69
330070405000174,69
330070405000180,69
330070405000274,69
330070405000314,69
330070405000353,69
330070405000428,69
330070420000002,345
330070420000008,69
330070420000051,69
330070420000086,897
330070420000277,69
330080305000267,483
330095105000005,138
330100905070119,69
330100905070165,69
330100905080107,69
330100950000033,69
330150405000031,414
330150405000040,69
330150405000078,69
330150405000082,69
330160310000009,69
330170205000003,69
330170205000004,69
330170205000046,138
330170205000066,69
330170205000209,69
330170205000210,69
330170205000291,207
330170205000313,276
330170205000420,69
330170205000447,207
330170205000477,828
330170205000528,345
330170205000532,69
330170205000546,69
330170205000551,69
330170205000568,69
330170205000694,69
330170205000832,69
330170205000861,138
330170210000036,69
330170210000047,69
330170210000153,69
330170210000154,69
330170210000157,69
330170210000160,138
330170210000284,138
330170210000398,414
330170210000510,69
330170210000597,7797
330170210000675,138
330170215000004,138
330170215000038,414
330170215000133,207
330170215000154,138
330170215000278,69
330170215000337,207
330170215000362,69
330170215000399,138
330170215000420,138
330170220000010,207
